WKT;HRB_Number
"POINT (161.859989589446627 -90.0)";    141.00000000000
"POINT (161.859989589446627 -90.0)";    144.00000000000
"POINT (161.859989589446627 -90.0)";    234.00000000000
"POINT (161.859989589446627 -90.0)";    247.00000000000
"POINT (-117.14405915576279 32.762248045790962)";    339.00000000000
"POINT (161.859989589446627 -90.0)";    377.00000000000
"POINT (161.859989589446627 -90.0)";    383.00000000000
"POINT (161.859989589446627 -90.0)";    411.00000000000
"POINT (-117.130518422846279 32.755545893818713)";    517.00000000000
"POINT (-117.151359639024648 32.709169950856158)";    562.00000000000
"POINT (161.859989589446627 -90.0)";    734.00000000000
"POINT (-117.149124472496396 32.709217015282533)";    751.00000000000
"POINT (-117.105232638213508 32.76826293907795)";    752.00000000000
"POINT (-117.154094249668674 32.71764797594232)";    753.00000000000
"POINT (-117.102887960847923 32.771367684377957)";    754.00000000000
"POINT (-117.102897606352997 32.771530552910804)";    755.00000000000
"POINT (-117.180248207319437 32.756559055770701)";    756.00000000000
"POINT (-117.25979424570393 32.848554985634955)";    757.00000000000
"POINT (-117.254348755790929 32.856738330187596)";    759.00000000000
"POINT (-117.131770929831006 32.721901928316122)";    760.00000000000
"POINT (-117.133274397903961 32.721119408727589)";    761.00000000000
"POINT (-117.178263598390515 32.753426284748983)";    762.00000000000
"POINT (-117.259954732755702 32.848802523661327)";    763.00000000000
"POINT (-117.181008279745868 32.756537159587758)";    764.00000000000
"POINT (-117.169794350825185 32.744840875495335)";    765.00000000000
"POINT (-117.188343959321244 32.750246145927782)";    766.00000000000
"POINT (-117.279392608706374 32.834464838180779)";    767.00000000000
"POINT (-117.255500767370108 32.848887158207503)";    768.00000000000
"POINT (-117.1410645339962 32.765020539223926)";    769.00000000000
"POINT (-117.152935265365542 32.741437884455628)";    770.00000000000
"POINT (-117.16643273931497 32.734315419752456)";    771.00000000000
"POINT (-117.178260064240334 32.7528872643013)";    772.00000000000
"POINT (-117.181528387017238 32.751887984548297)";    775.00000000000
"POINT (-117.180421448016688 32.751479562195392)";    776.00000000000
"POINT (-117.175658689439317 32.752573212565622)";    777.00000000000
"POINT (-117.169829775391264 32.748390267778056)";    778.00000000000
"POINT (-117.181194168708629 32.754887447677845)";    779.00000000000
"POINT (-117.249961051463714 32.902694867606847)";     10.00000000000
"POINT (-117.193327852807982 32.758709903864826)";      3.00000000000
"POINT (-117.174325560613099 32.753592916989312)";    780.00000000000
"POINT (-117.217655430809288 32.744398747409122)";    781.00000000000
"POINT (-117.263416335507472 32.849950404233553)";    782.00000000000
"POINT (-117.162455572699841 32.738250423936215)";    784.00000000000
"POINT (-117.184625560115506 32.753730113814918)";    785.00000000000
"POINT (-117.185000799721578 32.754694804113605)";    786.00000000000
"POINT (-117.130664845573349 32.734501988472587)";    787.00000000000
"POINT (-117.149501430878388 32.743023199772708)";    788.00000000000
"POINT (-117.133268394833536 32.739473289451432)";    789.00000000000
"POINT (-117.184208537311875 32.750057316474546)";    790.00000000000
"POINT (-117.166463543203108 32.750943254949846)";    791.00000000000
"POINT (-117.12576525576732 32.743165798238657)";    792.00000000000
"POINT (-117.222525455163748 32.747050188485694)";    793.00000000000
"POINT (-117.184658964184138 32.749050256513776)";    794.00000000000
"POINT (-117.128347401278305 32.73107547428625)";    795.00000000000
"POINT (-117.126627747668493 32.733677215283471)";    796.00000000000
"POINT (-117.186695905755656 32.757037414090469)";    797.00000000000
"POINT (-117.162649016587991 32.720072384019574)";    110.00000000000
"POINT (-117.130855451566589 32.755546834691238)";    517.00000000000
"POINT (-117.151203493468643 32.709170765525741)";    562.00000000000
"POINT (-117.151027896474446 32.709183627346988)";    562.00000000000
"POINT (-117.156367353753993 32.752917757584576)";    840.00000000000
"POINT (-117.128702599384553 32.721468804383541)";    841.00000000000
"POINT (-117.274058784451597 32.819404452268834)";    842.00000000000
"POINT (-117.134945575734008 32.745615863639117)";    843.00000000000
"POINT (-117.240377829727066 32.716923124504639)";    844.00000000000
"POINT (-117.219171662664479 32.745937055300217)";    845.00000000000
"POINT (161.859989589446627 -90.0)";    141.00000000000
"POINT (161.859989589446627 -90.0)";    144.00000000000
"POINT (161.859989589446627 -90.0)";    234.00000000000
"POINT (161.859989589446627 -90.0)";    247.00000000000
"POINT (161.859989589446627 -90.0)";    377.00000000000
"POINT (161.859989589446627 -90.0)";    383.00000000000
"POINT (161.859989589446627 -90.0)";    411.00000000000
"POINT (161.859989589446627 -90.0)";    734.00000000000
"POINT (-117.180632567314916 32.754605775231823)";    758.00000000000
"POINT (-117.173567620182865 32.72022536618686)";    783.00000000000
"POINT (-117.24118685450982 32.709770226273264)";    798.00000000000
"POINT (-117.148420379141072 32.702605741349011)";    799.00000000000
"POINT (-117.18337955536802 32.756383384058537)";    800.00000000000
"POINT (-117.159726079240698 32.739112241114448)";    801.00000000000
"POINT (-117.165443147793113 32.729717176521753)";    802.00000000000
"POINT (-117.240615107976339 32.709409661657233)";    803.00000000000
"POINT (-117.156994646648627 32.748144831102898)";    804.00000000000
"POINT (-117.110860490458052 32.768917690916339)";    846.00000000000
"POINT (-117.164581603338789 32.735978502722141)";    847.00000000000
