HRB #,District Contributor ID,Name of Historic Site or Structure,APN,Street #,Street Name,City ,Zip Code,Comm. Plan Area,Neighborhood,Date Designated ,Designation Criteria,Other Inventory Listings,Architectural Style,"YearBuilt",Architect and/or Builder,Historic Individ,Historic District,Staff Report Number
1,,El Prado Area Designation,534-450-08,,,San Diego,92101,Balboa Park,Balboa Park,9/7/67,,"NR 1976-12-12;NHL",,,,,,
2,,Old Mission Dam & Flume  Padre Dam,383-010-04,,Father Serra Trail,San Diego,92124,Tierrasanta,Tierrasanta,2/1/68,A,NR 1966-10-15; NHL  1960; CHL#52,Dam,1803,,,,
3,,Fort Stockton,442-520-07,,Cosoy Way and Presidio Drive,San Diego,92103,Old San Diego,Old Town,2/15/68,A,CHL#54,Fort,1838,,,,
4,,Presidio of San Diego Site,442-520-07,,"Bounded by Taylor Street, Pine Street, Harney Street, Arista Street, Cosoy Way, Jackson Street and Presidio Drive.",San Diego,92103,Old San Diego,Old Town,2/29/68,A,NR 1966-10-15; NHL; CHL#59 ,Park,1769,,,,
5,,Calvary Cemetery Site,443-640-11,1501,Washington Place,San Diego,92103,Uptown,Mission Hills,2/29/68,A,,Cemetery/Park,1876,,,,
6,,New San Diego (Dunnell's Hotel) Site,533-544-17,348,West F Street,San Diego,92101,Centre City,Marina,1/23/69,"A, B",,Pre-Fabricated Early American,1850,"William Heath Davis, builder",Willaim Heath Davis,,
7,,Plaza de Pantoja y Arriaga,533-544-13,,"Bounded by India Street, F Street, Columbia Street and G Street.",San Diego,92101,Centre City,Marina,1/23/69,A,,Park,1851,,,,
8,,Sherman-Gilbert House,443-340-34,,Heritage Park Row,San Diego,92103,Old San Diego,Old Town,8/7/69,"B, C, D",H.A.B.S.  (CA) 1967,Chalet Victorian with Gothic Influences,1887,"Comstock and Trotshe, architects",John Sherman; the Gilbert Family,,
9,,Davis-Horton House,535-082-07,402,Island Avenue,San Diego,92101,Centre City,Gaslamp,11/2/69,"A, B, C",1988 H.A.B.S.  423 1963,Pre-Fabricated Early American,1850,"William Heath Davis, builder",William Heath Davis; Alonzo Horton,,
10,,Torrey Pines Area,340-011-09,11056 1/3,North Torrey Pines Road,San Diego,92037,University,Torrey Pines,11/21/69,A,,,,,,,
11,208-390,Villa Montezuma,535-413-13,1925,K Street,San Diego,92102,Southeastern San Diego,Sherman Heights,2/6/70,"B, C, D","NR 1971-05-06;H.A.B.S. #432, 01/22/1965; HRB# 208-390",Eclectic Victorian,1887,"Comstock and Trotshe, architects",Jesse Sherpherd,Sherman Heights Historic District,
12,,San Pasqual Battlefield Site,242-100-05,,"San Pasqual Battlefield State Historic Park, State Hwy 78 at Old Pasqual",San Diego,92027,San Pasqual,San Pasqual,11/6/70,A,CHL#533,,1846,,,,
